covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
T_stage_T3,0.977117389677021,2.656786712304732,0.0315558204189703,0.9152691181532254,1.038965661200817,2.4974472698717607,2.826292158329104,0.0,30.964727796765125,1.609631739004915e-210,696.9181692684922
age_num,0.0198223772241819,1.020020145125494,0.0010533567973779,0.0177578358384508,0.0218869186099131,1.017916443658197,1.0221281942579568,0.0,18.818293358456724,5.347958558282541e-79,260.0133312101752
Histology_Group_Mucinous,0.7744549250248292,2.1694093141237967,0.0765731646624425,0.6243742801041867,0.9245355699454716,1.867077324422976,2.5206973008799114,0.0,10.113920829037935,4.792695487814222e-24,77.46543699854918
SEER Combined Mets at DX-lung (2010+)_Yes,0.4636773285881367,1.58990986920071,0.0529291947338511,0.3599380131790813,0.567416643997192,1.4332405697802335,1.763704883521,0.0,8.76033219321943,1.946758076265696e-18,58.83363209656832
Histology_Group_Serous,0.3998454743870487,1.4915941903255523,0.0508449408281538,0.300191221567797,0.4994997272063004,1.3501169543743234,1.6478966665847037,0.0,7.864016908554374,3.7200730185922e-15,47.93359048409353
Grade Recode (thru 2017)_Poorly differentiated; Grade III,0.3077705248624981,1.3603887777143415,0.0416966042549012,0.2260466822452721,0.3894943674797241,1.253634186370798,1.4762341731352049,0.0,7.381189196631554,1.5688188113392694e-13,42.535386493770645
Grade Recode (thru 2017)_Well differentiated; Grade I,-0.4763895973319268,0.6210214867958066,0.0725356080380021,-0.618556776683125,-0.3342224179807286,0.5387213720603066,0.7158945367010631,0.0,-6.5676653193882615,5.111025487463533e-11,34.18759625802929
Grade Recode (thru 2017)_Undifferentiated; anaplastic; Grade IV,0.2796489644420954,1.3226654282380172,0.0429151975162975,0.1955367229207295,0.3637612059634613,1.2159634468315417,1.438730612844174,0.0,6.516315445965166,7.205536546902709e-11,33.69210318175305
Marital status at diagnosis_Married (including common law),-0.1689651298425285,0.8445383520579184,0.0353635593578729,-0.2382764325491039,-0.0996538271359532,0.7879848363271224,0.9051507024186052,0.0,-4.777944667069042,1.7709609634893303e-06,19.10703615757373
SEER Combined Mets at DX-liver (2010+)_Yes,0.2244520004695832,1.2516366319355556,0.0491735291572265,0.128073654328689,0.3208303466104775,1.1366367178284464,1.3782717325866196,0.0,4.564488339893696,5.007140281271101e-06,17.607581694437933
N_stage_N1,0.0970454396675468,1.1019104429276287,0.0242529043675768,0.0495106205866019,0.1445802587484917,1.0507567518086438,1.1555544345948543,0.0,4.001394562759441,6.29702536506366e-05,13.954969995750371
SEER Combined Mets at DX-bone (2010+)_Yes,0.6339709958501047,1.8850813865379132,0.1703626188675495,0.3000663985577836,0.967875593142426,1.349948439229711,2.632346340501249,0.0,3.721303417758522,0.0001981971242925,12.300776349411146
