Variable,covariate,coef,exp(coef),p,exp(coef) lower 95%,exp(coef) upper 95%
age_num,x,0.027874050954746675,1.0282661671232907,4.741261160742977e-187,1.026342102943967,1.0301938383094356
Marital status at diagnosis,x_Married (including common law),-0.21020610864858272,0.8104171947626284,2.628882665505038e-09,0.7562286226355636,0.8684887214106901
Marital status at diagnosis,x_Separated,0.037741880648634624,1.0384631508464928,0.7319241131465085,0.8367796181835246,1.288757149710483
Marital status at diagnosis,x_Single (never married),-0.25005902985792655,0.7787548119286755,2.279509764160483e-09,0.7174411485898615,0.8453084386002512
Marital status at diagnosis,x_Unmarried or Domestic Partner,-0.21601155168238,0.8057259943289491,0.18059226249741722,0.5873029098521694,1.105382532670889
Marital status at diagnosis,x_Widowed,0.27501798158598195,1.3165543483899926,6.012735483973896e-10,1.2067602845965,1.4363377502468606
Grade Recode (thru 2017),x_Poorly differentiated; Grade III,0.7645889177113003,2.148111142682233,4.137544348915374e-87,1.991404671790807,2.3171490690367826
Grade Recode (thru 2017),x_Undifferentiated; anaplastic; Grade IV,0.8030199088243425,2.232272017703668,4.3024276051647926e-94,2.0679061847070903,2.409702334600169
Grade Recode (thru 2017),x_Well differentiated; Grade I,-0.659749016416684,0.5169810719719794,6.587737828108516e-20,0.44873903154586237,0.5956010286347941
Histology_Group,x_Mucinous,0.5793868648685175,1.7849436834903014,2.8988367927900816e-14,1.5372928882784147,2.0724898797911524
Histology_Group,x_Other,0.39827741942512,1.4892571214593089,0.05638310535250865,0.9892249251649864,2.242044976219498
Histology_Group,x_Serous,1.2954612170149344,3.6526802639877136,2.9001972597459807e-180,3.34268347951664,3.9914258088398635
Laterality,x_Left - origin of primary,-0.5935577446896009,0.5523586338361056,6.338801997938934e-93,0.5218095266682992,0.5846962249258306
Laterality,x_Only one side - side unspecified,-0.04492360685914615,0.9560705162730151,0.8298443225907247,0.6346761358912862,1.4402161675779803
Laterality,"x_Paired site, but no information concerning laterality",0.23856768495080732,1.2694296244103653,0.0003527624306274134,1.113720113350922,1.446908924435388
Laterality,x_Right - origin of primary,-0.5528490120056215,0.5753084127351211,1.6876312537846023e-82,0.5438046844422669,0.6086372170612352
T_stage,x_T3,1.2607329240076282,3.528006300530584,0.0,3.3368386160423857,3.7301259931311566
N_stage,x_N1,0.4314437892273207,1.5394786023994322,1.1850404358132943e-74,1.469887506433499,1.6123644543358346
SEER Combined Mets at DX-bone (2010+),x_Yes,0.9376279439703354,2.5539161953383847,3.13818868359006e-08,1.8322106381042285,3.559900699823711
SEER Combined Mets at DX-brain (2010+),x_Yes,0.07245777041190599,1.0751474020995349,0.9001499874735561,0.3466684410570176,3.3344308259408524
SEER Combined Mets at DX-liver (2010+),x_Yes,0.6375168973778592,1.8917775644840324,2.2007087918857627e-40,1.72218773631299,2.078067494050906
SEER Combined Mets at DX-lung (2010+),x_Yes,0.8137810615083887,2.2564235538357185,5.889092621375985e-56,2.039235261062552,2.4967434368762795
